Company,GICS Sub-Industry, Industry (Exiobase) ,Environmental Intensity (Sales),Environmental Intensity (Op Inc), Total Environmental Cost , Working Capacity , Fish Production Capacity , Crop Production Capacity , Meat Production Capacity , Biodiversity , Abiotic Resources , Water production capacity (Drinking water & Irrigation Water) , Wood Production Capacity ,% Imputed,last_updated,id_code,country,actor_type,isin_id,race_to_zero_member,end_target,end_target_percentage_reduction,end_target_baseline_year,end_target_other,end_target_year,end_target_status,status_date,interim_target,end_target_text,interim_target_text,target_notes,source_url,gasses_coverage,territorial_emissions,consumption_emissions,international_aviation,international_shipping,scope_1,scope_2,scope_3,historical_emissions,coverage_notes,has_plan,plan_options,reporting_mechanism,equity,accountability,carbon_credit_offsets,carbon_credit_conditions,annual_revenue_billions
AECOM Technology,Construction & Engineering,Construction (45),-0.24%,-7.15%,"-47,593,247","-46,554,076","-10,362","-631,187","-142,814","-1,912","-1,866","-251,130",100,4%,6/29/22 15:23,COM-0423,USA,Company,US00766T1007,Yes,Science-based target,,,,2025,Declaration / pledge,,No target,20% reduction in Scope 1 and 2 emissions and a 10% reduction in supply chain emissions from our 2018 baseline,"Implementing a 50 percent reduction in business travel​
Developing carbon reduction targets in partnership with our supply chain​
Decarbonizing all fleet vehicles and switching to renewable energy tariffs​
Offsetting residual carbon by creating our own nature-based solution projects",,https://publications.aecom.com/sustainable-legacies/,Not Specified,,,,,Yes,Yes,No,,,No,,Annual reporting,Yes,No,Not Specified,,18.4
AGL Energy,Multi-Utilities,Production of electricity nec,-142.29%,-1184.01%,"-13,235,465,289","-9,706,878,305","-3,712,251","-126,920,292","-30,081,717","-507,358","-64,284","-3,369,638,251","2,337,170",0%,7/25/22 11:54,COM-0405,AUS,Company,AU000000AGL7,No,Net zero,,,,2040,In corporate strategy,2020,Emissions reduction target,"""AGL energy will be a net zero energy business by 2040"" https://www.agl.com.au/content/dam/digital/agl/documents/about-agl/media-centre/2022/220210-agl-energy-fy22-half-year-results-presentation.pdf","""50% reduction by 2030 in all emissions (Scope 1, 2 and 3) on FY19 levels by AGL Australia""","""AGL Australia will be carbon neutral for all Scope 1 and 2 emissions upon listing with credible pathways to net zero for Scope 1, 2 and 3 emissions by 2040, including a 50% emissions reduction on FY19 levels by 2030.""",https://www.agl.com.au/about-agl/sustainability/transition#climate,Not Specified,,,,,Yes,Yes,Partial,No,,No,,Annual reporting,No,No,Yes,No conditions specified,9.2
ARKEMA,Specialty Chemicals,Petroleum Refinery,-12.89%,-128.98%,"-1,262,910,264","-1,143,193,067","-290,012","-15,019,641","-3,497,047","-48,717","-861,686","-100,025,196","25,101",4%,10/20/21 15:17,COM-1479,FRA,Company,FR0010313833,No,No target,,,,,,,Emissions reduction target,,"That results, for the Group, in a new long-term objective of reducing its absolute emissions by more than 1.7 million metric tons of CO2 equivalent compared to 2015 to reach less than 3 million metric tons in 2030, regardless of the increase of its production volumes, i.e., a decrease of 38% over 15 years.",Other URL _> https://www.arkema.com/global/en/social-responsibility/vision-and-strategy/,https://www.arkema.com/global/en/media/newslist/news/global/csr/2020/20200225-arkema-s-engage-p/,Carbon dioxide and other GHGs,,,,,Yes,Yes,Not Specified,,"As a responsible manufacturer, Arkema takes into account all the GHG emissions generated by its industrial operations in this new objective:
The direct emissions linked to its production, known as Scope 1, and those caused by substances that deplete the ozone layer (ODS – Ozone Depleting Substance) Indirect emissions linked to the purchase of energy, known as Scope 2.",Yes,,,,Not Specified,Not Specified,,9.8
AT&T,Integrated Telecommunication Services,Post and telecommunications (64),-1.19%,-6.97%,"-2,159,454,089","-2,088,754,000","-504,310","-27,790,410","-6,512,518","-89,871","-185,121","-35,695,773","77,913",4%,9/28/22 1:41,COM-0174,USA,Company,US00206R1023,No,Carbon neutral(ity),,,,2035,In corporate strategy,2020,Emissions reduction target,2035 TARGET: Achieve carbon neutrality (net zero Scope 1 and 2 GHG emissions1) by 2035.,We will reduce absolute Scope 1 and Scope 2 GHG emissions by 63% by 2030 from a 2015 base year. -- https://about.att.com/ecms/dam/csr/2019/environment/ClimateStrategyTransitionPlan.pdf,,https://about.att.com/csr/home/reporting/issue-brief/climate-change.html,Carbon dioxide only,,,,,Yes,Yes,Partial,No,"We will achieve net zero Scope 1 and 2 emissions3 through steps such as accelerating network optimization and energy efficiency projects, virtualizing many network functions, expanding sustainable media production, and scaling our renewable energy use....
We have also set a science-based target that 50% of our suppliers (covering purchased goods and services, capital goods and downstream leased assets as a portion of spend) set their own science-based Scope 1 and Scope 2 emissions reduction targets by 2024. https://about.att.com/csr/home/environment/carbon-neutral.html",Yes,Measures for all emission scopes that are covered by the target|Information on the emission reductions expected from these measures within a certain time period,Annual reporting,No,No,Yes,No conditions specified,171.8
Aareal Bank,Thrifts & Mortgage Finance,"Financial intermediation, except insurance and pension funding (65)",-0.15%,-0.91%,"-2,186,143","-2,080,610",-631,"-27,759","-6,495",-102,"-1,982","-68,957",393,17%,10/30/22 10:50,COM-1902,DEU,Company,DE0005408116,No,No target,,,,,,,No target,,,,https://www.aareal-bank.com/fileadmin/05_Verantwortung/03_Other_PDF-files/Nichtfinanzieller_Bericht_2021_en.pdf,,,,,,Yes,Yes,Not Specified,,"No Net Zero or Carbon Neutrality Plan is explicitly outlined, though Aaeral is reporting on Scope 1 and 2 emissions among other things, per the German CSR Directive Implementation Act. 

The reports also talks about Aareal Bank ""expanding the transparency of"" and ""continuously improving"" their reporting by taking part in initiatives like PCAF in the future but with no clear timeline. ",No,,Annual reporting,,,,,1.5
AbbVie,Biotechnology,Research and development (73),-0.71%,-1.75%,"-237,216,849","-219,258,495","-49,003","-2,666,022","-608,738","-8,659","-43,876","-14,574,248","-7,808",22%,6/11/22 9:10,COM-0526,USA,Company,US00287Y1091,Yes,Emissions reduction target,50,2015,,2035,In corporate strategy,2021,Emissions reduction target,"""We recognize the need to protect the environment for future generations. That’s why we’ve set long-term goals for 2035 (over a 2015 baseline).
EMISSIONS: Reduce total CO2e emissions (Scope 1 and Scope 2 market based) by 50%. Purchase 100% electric energy from renewable resources.""

","""Our 2025 Goals. Absolute over a 2015 baseline. 
EMISSIONS: Reduce total CO2e emissions (Scope 1 and Scope 2 market based) by 25%.""","The ennvironemntal points are simple and to the point, and beyond teh aforementioned emissions targets also cover renewable energy, water , and waste.",https://www.abbvie.com/content/dam/abbvie-dotcom/uploads/PDFs/AbbVie-Environmental_Stewardship-9.2016.pdf,Carbon dioxide only,,,,,Yes,Yes,No,No,"Very clear perncetage reductions with dates, but this as far as they go.
https://www.abbvie.com/content/dam/abbvie-dotcom/uploads/PDFs/AbbVie-Environmental_Stewardship-9.2016.pdf",No,,No reporting mechanism,No,No,Not Specified,,45.8
Abbott Laboratories,Health Care Equipment,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",-1.15%,-7.88%,"-367,928,496","-336,360,248","-77,085","-4,353,426","-1,009,881","-13,847","-93,462","-26,019,197","-1,349",5%,6/12/22 13:47,COM-0549,USA,Company,US0028241000,No,Emissions reduction target,30,2018,,2030,In corporate strategy,2021,No target,,,,https://www.abbott.com/responsibility/sustainability.html,Carbon dioxide only,,,,,Yes,Yes,Partial,No,"Quantative figures for reducing scope 1&2 targets (30%), with the commitment to add such a target for scope 3 emissions forthcoming.

https://www.abbott.com/responsibility/sustainability.html
",Yes,,Annual reporting,No,Not Specified,Not Specified,,34.6
Absa Group,Diversified Banks,"Financial intermediation, except insurance and pension funding (65)",-0.69%,-4.82%,"-69,707,363","-68,178,286","-15,550","-903,472","-211,386","-2,828","-24,002","-371,708",-131,1%,9/12/22 18:51,COM-0988,ZAF,Company,ZAE000255915,No,No target,,,,,,,No target,,,"""Second, we aim to set an ambitious group net-zero carbon emission target, to mitigate climate change.""",https://justshare.org.za/wp-content/uploads/2022/06/Absa-Group-TCFD-report-2021-final.pdf,Not Specified,,,,,,,,,,,,,,,,,9.04E-06
Accenture,IT Consulting & Other Services,Computer and related activities (72),-0.21%,-1.46%,"-92,239,419","-87,711,469","-22,078","-1,163,762","-271,983","-3,847","-23,038","-3,048,474","5,231",8%,11/5/21 16:30,COM-0045,IRL,Company,IE00B4BNMY34,Yes,Net zero,,,,2025,In corporate strategy,2021,,"Achieve net-zero emissions by 2025: We’ll focus on actual reductions across our scope 1, 2 and 3 emissions and will invest in nature-based solutions to remove carbon from the atmosphere.",,"Net zero target for 2025 builds up on previous 2025 absolute emissions reduction target (11% reduction below 2016 across all disclosed emissions) and claims to offset the remaining 89% with nature-based offset credits. The near-term target for 2025 has previously been approved as 1.5°C SBT: ""Global management consulting and professional services firm Accenture commits to reduce absolute scope 1, 2 and 3 GHG emissions 11% by 2025 from a 2016 base-year. This target includes a 65% reduction in scope 1 and 2 emissions, and represents a 40% per unit of revenue intensity reduction for scope 1, 2 and 3 GHG emissions over the same time period."" (https://sciencebasedtargets.org/companies-taking-action#table). UNGC Business Ambition for 1.5° Pledge",https://www.accenture.com/gb-en/about/responsible-business/environment,Carbon dioxide and other GHGs,,,,,Yes,Yes,Partial,No,Accenture discloses on selected scope 3 emissions that are most relevant for its business operations (see Section 6.5 in CDP 2021 disclosure here: https://www.accenture.com/_acnmedia/PDF-166/Accenture-CDP-2021.pdf#zoom=50). Omissions of some scope 3 emissions are likely minor.,Yes,Measures for all emission scopes that are covered by the target,Annual reporting,No,Yes,Yes,Other conditions,44.7
Accor,"Hotels, Resorts & Cruise Lines",Other service activities (93),-12.11%,-99.25%,"-549,501,209","-518,373,754","-118,790","-6,894,884","-1,616,464","-21,603","-2,028","-22,474,407",719,0%,10/20/21 15:36,COM-0033,FRA,Company,FR0000120404,No,Net zero,,,,2050,Declaration / pledge,,No target,"As an industry leader, Accor follows the latest science and aims to reduce its environmental footprint to preserve the planet and its resources for future generations. Accor has committed to limit global warming to +1.5°C and set a target to reach net-zero carbon emissions by 2050.","https://accorhotelscomms.com/newsletter/luxe/2019/issue_02/spotlight-pdfs/Accor-Planet21.pdf
https://group.accor.com/en/group/our-commitments/our-commitment-to-the-planet",https://www.bighospitality.co.uk/Article/2012/04/13/PLANET-21-Accor-launches-global-strategy-for-sustainability,https://all.accor.com/fr/sustainable-development/index.shtml,Not Specified,,,,,Yes,Yes,Yes,,,Yes,,,,Yes,Yes,No conditions specified,4.5
